placa,hora_ingreso,hora_salida,peso_deposito,razon_social,municipio,tipo_residuo,tiempo_operacion_min
TOQ775,2024-02-09 16:07:10,2024-02-09 16:50:49,10690,ACUEDUCTO MULTIVEREDAL RIONEGRO,Rionegro,ORDINARIOS E INERTES,43.65
ODT904,2021-01-05 13:56:10,2021-01-05 14:47:09,6160,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,50.983333333333334
ODT904,2021-01-08 16:05:12,2021-01-08 16:27:57,5680,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.75
ODT904,2021-01-09 11:36:08,2021-01-09 12:09:01,1770,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,32.88333333333333
ODT904,2021-01-07 09:23:44,2021-01-07 09:47:06,3050,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.366666666666667
ODT904,2021-01-13 10:04:25,2021-01-13 10:27:29,6710,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.066666666666666
ODT904,2021-01-16 09:23:43,2021-01-16 09:49:51,6430,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.133333333333333
ODT904,2021-01-20 10:10:59,2021-01-20 10:37:18,4330,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.316666666666666
ODT904,2021-01-23 10:04:06,2021-01-23 10:37:10,6130,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,33.06666666666667
ODT904,2021-01-26 12:56:38,2021-01-26 13:53:07,3540,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,56.483333333333334
ODT904,2021-01-27 00:13:01,2021-01-27 00:49:34,1800,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,36.55
ODT904,2021-01-29 16:18:34,2021-01-29 16:43:08,5860,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.566666666666666
ODT904,2021-02-02 13:14:20,2021-02-02 14:03:48,4820,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,49.46666666666667
ODT904,2021-02-05 15:00:42,2021-02-05 15:23:35,4680,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.883333333333333
ODT904,2021-02-06 12:54:01,2021-02-06 13:17:50,2340,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.816666666666666
ODT904,2021-02-09 15:23:41,2021-02-09 16:05:42,3090,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,42.016666666666666
ODT904,2021-02-10 12:36:16,2021-02-10 13:20:55,2030,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,44.65
ODT904,2021-02-12 17:28:56,2021-02-12 17:50:40,5330,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,21.733333333333334
ODT904,2021-02-17 08:38:19,2021-02-17 09:00:04,3040,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,21.75
ODT904,2021-02-19 14:39:45,2021-02-19 15:07:24,5840,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,27.65
ODT904,2021-02-26 14:10:47,2021-02-26 14:35:13,5160,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.433333333333334
ODT904,2021-03-02 15:25:18,2021-03-02 15:53:27,2620,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,28.15
ODT904,2021-03-05 14:50:47,2021-03-05 15:15:41,6140,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.9
